,name,id,location,is_economy,media_type,daily_avg_vlm,rank
712,鲁中网,330501,山东,0.0,1，2，3,1.0,1
730,海报新闻,330002,,,4,1.0,1
749,重庆日报网,350102,,,1,1.0,1
750,重庆晚报网,350201,重庆,0.0,1,1.0,1
756,新重庆,350004,,,4,1.0,1
758,看楚天,360301,湖北,0.0,4,1.0,1
763,襄阳网,360602,,,2,1.0,1
766,支点财经,360703,,,2,1.0,1
769,大楚网,360002,,,1,1.0,1
776,新湖南,380102,,,4,1.0,1
793,富阳新闻网,390010,,,1,1.0,1
802,生活报网,410201,,,1,1.0,1
813,福清东南网,420011,,,2,1.0,1
821,海峡网,420202,福建,0.0,1，2,1.0,1
825,法治甘肃网,430101,,,1，3,1.0,1
828,甘肃经济网,430701,,,1,1.0,1
829,新时报,440201,,,4,1.0,1
830,爱济南,440001,,,4,1.0,1
835,汉网,450002,,,1，3,1.0,1
837,南报网,460101,江苏,0.0,1，2，3,1.0,1
845,董秘第一圈,460403,江苏,0.0,2,1.0,1
846,郑州观察,470102,,,4,1.0,1
864,众望,490001,,,4,1.0,1
875,卫生监督,500006,,,2,1.0,1
895,新三板+,10,广东,1.0,4,1.0,1
